Config file:	 /home/jyang4/ProtTP/configs/VAE+AD_MSA_allDSM.json
Save directory:	 /home/jyang4/ProtTP/saved/VAE+AD_MSA_allDSM
Device:	 cuda:0
########## Experiment VAE+AD_MSA_allDSM: ##########
Config file:	 /home/jyang4/ProtTP/configs/VAE+AD_MSA_allDSM.json
Save directory:	 /home/jyang4/ProtTP/saved/VAE+AD_MSA_allDSM
Device:	 cuda:0
########## Experiment VAE+AD_MSA_allDSM: ##########
Epoch[1/80], Reconst Loss: 0.7479, KL Div: 84.9060, Attribute Loss: 116.6205
Best model saved
Epoch[2/80], Reconst Loss: 0.6842, KL Div: 83.1666, Attribute Loss: 123.2052
Epoch[3/80], Reconst Loss: 0.5122, KL Div: 84.4653, Attribute Loss: 146.0405
Epoch[4/80], Reconst Loss: 0.4897, KL Div: 87.0737, Attribute Loss: 129.3378
Epoch[5/80], Reconst Loss: 0.4219, KL Div: 88.6790, Attribute Loss: 133.1303
Epoch[6/80], Reconst Loss: 0.4529, KL Div: 89.6426, Attribute Loss: 139.0668
Epoch[7/80], Reconst Loss: 0.2985, KL Div: 88.6188, Attribute Loss: 119.5419
Epoch[8/80], Reconst Loss: 0.3342, KL Div: 88.9989, Attribute Loss: 146.4348
Epoch[9/80], Reconst Loss: 0.3619, KL Div: 91.3803, Attribute Loss: 122.3008
Epoch[10/80], Reconst Loss: 0.4055, KL Div: 89.2303, Attribute Loss: 128.5565
Epoch[11/80], Reconst Loss: 0.3205, KL Div: 85.8584, Attribute Loss: 125.1815
Epoch[12/80], Reconst Loss: 0.3452, KL Div: 98.1670, Attribute Loss: 145.0813
Epoch[13/80], Reconst Loss: 0.2787, KL Div: 85.5329, Attribute Loss: 136.7277
Epoch[14/80], Reconst Loss: 0.4263, KL Div: 88.4359, Attribute Loss: 119.9454
Epoch[15/80], Reconst Loss: 0.4829, KL Div: 86.3336, Attribute Loss: 147.3868
Epoch[16/80], Reconst Loss: 0.2756, KL Div: 89.9133, Attribute Loss: 156.4700
Epoch[17/80], Reconst Loss: 0.2691, KL Div: 89.2912, Attribute Loss: 145.8181
Epoch[18/80], Reconst Loss: 0.2880, KL Div: 98.2056, Attribute Loss: 122.4182
Epoch[19/80], Reconst Loss: 0.2422, KL Div: 83.0044, Attribute Loss: 132.3578
Epoch[20/80], Reconst Loss: 0.3611, KL Div: 95.8530, Attribute Loss: 150.5386
Epoch[21/80], Reconst Loss: 0.3030, KL Div: 95.7016, Attribute Loss: 139.8639
Epoch[22/80], Reconst Loss: 0.2890, KL Div: 88.2022, Attribute Loss: 133.8144
Epoch[23/80], Reconst Loss: 0.2313, KL Div: 72.7326, Attribute Loss: 138.3502
Epoch[24/80], Reconst Loss: 0.3772, KL Div: 84.1414, Attribute Loss: 130.0390
Epoch[25/80], Reconst Loss: 0.2625, KL Div: 94.7030, Attribute Loss: 109.5564
Best model saved
Epoch[26/80], Reconst Loss: 0.2226, KL Div: 85.6369, Attribute Loss: 143.4775
Epoch[27/80], Reconst Loss: 0.2651, KL Div: 83.7173, Attribute Loss: 113.5281
Best model saved
Epoch[28/80], Reconst Loss: 0.3204, KL Div: 84.2956, Attribute Loss: 142.9529
Epoch[29/80], Reconst Loss: 0.2841, KL Div: 87.0924, Attribute Loss: 150.1103
Epoch[30/80], Reconst Loss: 0.2954, KL Div: 81.8248, Attribute Loss: 146.0910
Epoch[31/80], Reconst Loss: 0.2263, KL Div: 84.3391, Attribute Loss: 154.8399
Epoch[32/80], Reconst Loss: 0.3291, KL Div: 84.5055, Attribute Loss: 120.0633
Epoch[33/80], Reconst Loss: 0.2416, KL Div: 77.4014, Attribute Loss: 115.8297
Best model saved
Epoch[34/80], Reconst Loss: 0.2857, KL Div: 84.2934, Attribute Loss: 129.6778
Epoch[35/80], Reconst Loss: 0.3202, KL Div: 87.8125, Attribute Loss: 114.8908
Epoch[36/80], Reconst Loss: 0.3387, KL Div: 78.0285, Attribute Loss: 126.0714
Epoch[37/80], Reconst Loss: 0.2538, KL Div: 84.9961, Attribute Loss: 122.9007
Epoch[38/80], Reconst Loss: 0.2455, KL Div: 87.8331, Attribute Loss: 129.4971
Epoch[39/80], Reconst Loss: 0.3177, KL Div: 81.3398, Attribute Loss: 121.7321
Epoch[40/80], Reconst Loss: 0.2547, KL Div: 96.3278, Attribute Loss: 126.9746
Epoch[41/80], Reconst Loss: 0.2873, KL Div: 95.0266, Attribute Loss: 141.5642
Epoch[42/80], Reconst Loss: 0.2957, KL Div: 96.4683, Attribute Loss: 137.0565
Epoch[43/80], Reconst Loss: 0.3026, KL Div: 89.5392, Attribute Loss: 154.6987
Epoch[44/80], Reconst Loss: 0.2114, KL Div: 87.2251, Attribute Loss: 128.2427
Epoch[45/80], Reconst Loss: 0.3586, KL Div: 94.8630, Attribute Loss: 142.5129
Epoch[46/80], Reconst Loss: 0.3392, KL Div: 91.8242, Attribute Loss: 133.4777
Epoch[47/80], Reconst Loss: 0.3771, KL Div: 90.4898, Attribute Loss: 133.9169
Epoch[48/80], Reconst Loss: 0.2572, KL Div: 91.0962, Attribute Loss: 121.0650
Epoch[49/80], Reconst Loss: 0.2670, KL Div: 85.2624, Attribute Loss: 113.6859
Epoch[50/80], Reconst Loss: 0.2331, KL Div: 84.1214, Attribute Loss: 126.6142
Epoch[51/80], Reconst Loss: 0.2558, KL Div: 83.1610, Attribute Loss: 106.7520
Best model saved
Epoch[52/80], Reconst Loss: 0.1724, KL Div: 83.5342, Attribute Loss: 132.6329
Epoch[53/80], Reconst Loss: 0.2963, KL Div: 92.1422, Attribute Loss: 125.6340
Epoch[54/80], Reconst Loss: 0.2693, KL Div: 85.8976, Attribute Loss: 114.2165
Epoch[55/80], Reconst Loss: 0.4111, KL Div: 91.5875, Attribute Loss: 118.2802
Epoch[56/80], Reconst Loss: 0.3077, KL Div: 92.0892, Attribute Loss: 131.8845
Epoch[57/80], Reconst Loss: 0.2516, KL Div: 80.2912, Attribute Loss: 110.1731
Epoch[58/80], Reconst Loss: 0.3571, KL Div: 88.2910, Attribute Loss: 136.0896
Epoch[59/80], Reconst Loss: 0.2068, KL Div: 83.3822, Attribute Loss: 104.3321
Best model saved
Epoch[60/80], Reconst Loss: 0.2536, KL Div: 84.9314, Attribute Loss: 130.2254
Epoch[61/80], Reconst Loss: 0.3401, KL Div: 81.0726, Attribute Loss: 122.9667
Epoch[62/80], Reconst Loss: 0.3173, KL Div: 88.7180, Attribute Loss: 112.0688
Epoch[63/80], Reconst Loss: 0.3474, KL Div: 92.0904, Attribute Loss: 126.9739
Epoch[64/80], Reconst Loss: 0.2939, KL Div: 89.8574, Attribute Loss: 115.8086
Epoch[65/80], Reconst Loss: 0.2279, KL Div: 90.9366, Attribute Loss: 150.2768
Epoch[66/80], Reconst Loss: 0.3304, KL Div: 90.1290, Attribute Loss: 142.7414
Epoch[67/80], Reconst Loss: 0.2783, KL Div: 98.3194, Attribute Loss: 148.5669
Epoch[68/80], Reconst Loss: 0.2874, KL Div: 83.2098, Attribute Loss: 134.9244
Epoch[69/80], Reconst Loss: 0.2170, KL Div: 93.3821, Attribute Loss: 121.2740
Epoch[70/80], Reconst Loss: 0.3004, KL Div: 99.4114, Attribute Loss: 146.8247
Epoch[71/80], Reconst Loss: 0.1905, KL Div: 85.8482, Attribute Loss: 114.3169
Epoch[72/80], Reconst Loss: 0.3207, KL Div: 94.2919, Attribute Loss: 136.9461
Epoch[73/80], Reconst Loss: 0.3092, KL Div: 82.3130, Attribute Loss: 122.8648
Epoch[74/80], Reconst Loss: 0.2856, KL Div: 88.6358, Attribute Loss: 136.9606
Epoch[75/80], Reconst Loss: 0.2125, KL Div: 84.8416, Attribute Loss: 128.5778
Epoch[76/80], Reconst Loss: 0.2574, KL Div: 88.8776, Attribute Loss: 128.0914
Epoch[77/80], Reconst Loss: 0.2446, KL Div: 88.9589, Attribute Loss: 96.4692
Best model saved
Epoch[78/80], Reconst Loss: 0.2553, KL Div: 78.2752, Attribute Loss: 121.6075
Epoch[79/80], Reconst Loss: 0.3386, KL Div: 80.7746, Attribute Loss: 132.8530
Epoch[80/80], Reconst Loss: 0.3042, KL Div: 90.4377, Attribute Loss: 142.9472
